time,x,y,z,H,W
30.5,-0.7241078189440369,-0.2434298643710745,0.6452982005835675,3,9
30.75,-0.8852928975895485,-0.11368054896120187,0.4509248476912541,3,9
31.0,-0.9818812509684159,0.15357101799879042,0.1110186985490006,5,8
31.25,-0.9560781428380059,0.18817140880636427,-0.22473563512548952,5,7
31.5,-0.8723046566771907,0.25315450551494667,-0.4183268844776425,5,6
31.75,-0.8135014654434153,0.2507032429618245,-0.5247506547779053,5,6
32.0,-0.7774350198224277,0.21516180818927166,-0.5910162317994524,5,6
32.25,-0.6338804366834044,0.3428874066301931,-0.693270378975243,6,5
32.5,-0.5820579039282091,0.43170493121583037,-0.6890859517060512,6,5
32.75,-0.6324034497786912,0.42045877098635365,-0.6505999528194385,6,5
33.0,-0.7654530838176066,0.3986145717930976,-0.5051613599913611,6,6
33.25,-0.9021826370557539,0.4058443537996995,-0.14613982990283741,6,7
33.5,-0.9247090027992896,0.35940640268795765,0.12546034372998105,6,8
33.75,-0.9215019454474527,0.26780559528691594,0.28127269271932565,5,8
34.0,-0.8790050417480726,0.20075051591723342,0.43249204263250196,5,9
34.25,-0.7996369720752364,0.19888972626974816,0.5665894366070482,5,9
34.5,-0.687614365451204,0.1975794792989154,0.69867648721358,5,10
34.75,-0.5465069732438794,0.1865082542071638,0.8164219493058781,5,10
35.0,-0.39007653418060473,0.1630198029694463,0.9062366364926164,5,10
35.25,-0.301312100751415,0.13116206779637285,0.9444615026098993,5,11
35.5,-0.2956533403271757,0.13956319183482255,0.9450456168028398,5,11
35.75,-0.2585904461864606,0.12685644492109455,0.9576212317628868,5,11
36.0,-0.23926518392899815,0.12120745495141921,0.9633591877506655,5,11
36.25,-0.26711035165032826,0.20012591060347157,0.9426567137332494,5,11
36.5,-0.266061025298589,0.21779098175478726,0.9390306805868219,5,11
36.75,-0.23644176518740456,0.19189578117088069,0.9525079006726831,5,11
37.0,-0.2360280634218126,0.17836859601857952,0.9552357809628518,5,11
37.25,-0.2417642254288048,0.17795999423455744,0.9538764593776524,5,11
37.5,-0.23115839148953193,0.1566438041152593,0.9602231598312304,5,11
37.75,-0.23524203364626456,0.12360415171799019,0.9640452267834978,5,11
38.0,-0.22151473090847684,0.0957051879698497,0.9704492469914133,4,11
38.25,-0.1780051928516277,0.0680031525170128,0.9816769950271848,4,11
38.5,-0.17039646960632912,0.07909401222443789,0.9821961007741477,4,11
38.75,-0.25241150163832166,0.11444461992735003,0.9608282171181127,5,11
39.0,-0.3287465749314986,0.1493229864597292,0.9325386507730155,5,11
39.25,-0.4632880390740522,0.21016909812333295,0.8609257476954353,5,10
39.5,-0.5799751624340814,0.2770468494087579,0.7660769244614027,5,10
39.75,-0.6185770533577488,0.34739691832573094,0.7047537230813543,6,10
40.0,-0.6019394578951365,0.34811110711387716,0.7186706798895165,6,10
40.25,-0.516963592873771,0.3169363935265554,0.7951729158500198,5,10
40.5,-0.5420849760666014,0.29100332247179095,0.7883279425678446,5,10
40.75,-0.5168708493586214,0.2446308194069325,0.8203659471721081,5,10
41.0,-0.4199024710142174,0.16924817907905282,0.8916484557910582,5,10
41.25,-0.3232369720120621,0.12147249330166425,0.9384893677051172,5,11
41.5,-0.25108401856916557,0.0888770138027862,0.963876388359347,4,11
41.75,-0.17282218404692162,0.04317406637905275,0.9840063478929133,4,11
42.0,-0.15192200551530713,0.022463323807742436,0.9881371885136777,4,11
42.25,-0.14999785008814634,0.02204709606906116,0.9884404739405681,4,11
42.5,-0.17941843720384718,0.04437626154214113,0.9827714748622245,4,11
42.75,-0.15439741369819138,0.06591866761417661,0.9858073685580167,4,11
43.0,-0.1648452950621999,0.06397363627092412,0.9842425527064615,4,11
43.25,-0.22079967383092775,0.04417672288020083,0.9743181827266298,4,11
43.5,-0.2749320317598869,0.07570801084288625,0.9584783122254744,4,11
43.75,-0.3466437927511282,0.09379305104842112,0.9332957433322737,4,11
44.0,-0.3817141668608275,0.10331079736528172,0.9184885268556678,4,10
44.25,-0.3861451942229334,0.11006049509433058,0.9158485553835438,4,10
44.5,-0.13369740796863355,0.09987047344705666,0.9859771253106887,4,11
44.75,0.125284310080866,-0.0026782109550820034,0.9921172656665348,4,12
45.0,0.31726690892228243,-0.06349815509956068,0.9462080599962424,4,12
45.25,0.5005076710291732,-0.09505040733604626,0.860498397038719,4,13
45.5,0.5662222284445129,-0.10804918854107395,0.817139988539874,4,13
45.75,0.7663400115054649,-0.005442585227983278,0.6424121457692404,4,14
46.0,0.9527407185329535,0.12571828311597463,0.27655024234247755,5,15
46.25,0.9831696984550135,0.16428374938105506,-0.07992617674567472,5,0
46.5,0.9267281156672956,0.1511589425492837,-0.343985426608637,5,0
46.75,0.8423544011168543,0.14642201283982248,-0.5186517686029813,5,1
47.0,0.8696279509423628,0.12926291639937565,-0.4764853884262505,5,1
47.25,0.9718065805642683,0.15217067432436082,-0.1801001272838349,5,0
47.5,0.9294191080559846,0.12872610292646625,0.3458463705256756,5,15
47.75,0.42658304802738933,0.04146801907016925,0.9034972642626307,4,13
48.0,-0.2228634561642946,0.15289030200318957,0.9627857682059283,5,11
48.25,-0.39891747982267145,0.18588726279896228,0.897948088600359,5,10
48.5,0.0038576643831986614,0.12582705304638495,0.9920446921117861,5,12
48.75,0.716346273979476,0.33897956103553156,0.6098695540489618,6,14
49.0,0.9023609383818557,0.39625006867548707,0.16950109131592217,6,15
49.25,0.9228595128873965,0.33765078603623866,0.18526269500994408,6,15
49.5,0.9196669473439991,0.33696480466257717,0.20166166314319933,6,15
49.75,0.8945697513749964,0.3442989543322023,0.2849617342216825,6,15
50.0,0.8465689791646027,0.33772536822944654,0.411415287963983,6,14
50.25,0.750459741264916,0.2684129001548971,0.6039575248070286,5,14
50.5,0.4930250598030522,0.1481276371571633,0.8573123663615451,5,13
50.75,-0.014286200074811517,0.050501777273700144,0.9986217877553141,4,11
