time,H,W
148.5,5,9
148.75,5,9
149.0,6,8
149.25,5,8
149.5,5,8
149.75,5,9
150.0,5,9
150.25,4,8
150.5,4,9
150.75,4,9
151.0,5,10
151.25,5,10
151.5,6,10
151.75,6,10
152.0,6,10
152.25,6,10
152.5,5,9
152.75,5,9
153.0,5,9
153.25,5,9
153.5,5,9
153.75,4,8
154.0,4,9
154.25,4,9
154.5,4,8
154.75,4,9
155.0,4,9
155.25,4,10
155.5,5,10
155.75,5,10
156.0,5,10
156.25,6,10
156.5,5,10
156.75,5,10
157.0,5,10
157.25,5,10
157.5,5,10
157.75,5,10
158.0,5,9
158.25,5,9
158.5,5,9
158.75,5,9
159.0,5,9
159.25,5,9
159.5,5,9
159.75,5,9
160.0,5,9
160.25,5,9
160.5,5,9
160.75,5,9
161.0,5,9
161.25,5,9
161.5,5,9
161.75,5,9
162.0,5,9
162.25,5,9
162.5,5,9
162.75,5,9
163.0,5,9
163.25,5,9
163.5,5,9
163.75,5,9
164.0,5,9
164.25,5,9
164.5,5,9
164.75,5,9
165.0,5,9
165.25,5,9
165.5,5,9
165.75,5,9
166.0,5,9
166.25,5,9
166.5,5,9
166.75,5,9
167.0,5,9
167.25,5,9
167.5,5,9
167.75,5,9
168.0,5,9
168.25,5,9
168.5,5,9
168.75,5,9
169.0,5,9
169.25,5,9
169.5,5,9
169.75,5,9
170.0,5,9
170.25,5,9
170.5,5,9
170.75,5,9
171.0,5,9
171.25,5,9
171.5,5,9
171.75,5,9
172.0,5,9
172.25,5,9
172.5,4,8
172.75,5,9
173.0,4,8
173.25,4,8
173.5,4,8
173.75,4,8
174.0,5,9
174.25,5,9
174.5,5,9
174.75,4,8
175.0,4,8
175.25,5,9
175.5,5,9
175.75,5,9
176.0,5,9
176.25,5,9
176.5,5,9
176.75,5,9
177.0,5,9
177.25,5,9
177.5,5,9
177.75,5,9
178.0,5,9
178.25,5,9
178.5,5,9
178.75,5,9
179.0,5,9
179.25,5,9
179.5,5,9
179.75,5,9
180.0,5,9
180.25,5,9
180.5,5,9
180.75,5,9
181.0,5,9
181.25,5,9
181.5,5,9
181.75,5,9
182.0,5,8
